Date,LongReturn_Net,ShortReturn_Net,LSReturn_Net,BenchmarkReturn,LongTurnover,LongTickers,ShortTickers,Regime_RiskOn,Regime_SGGrowth,VIX,SG_PMI,Label
2008-04-30,0.10862496861834897,-0.06791097946945296,0.04071398914889601,0.05955732504597391,0.5,SGX SP Equity|HKL SP Equity|CLAR SP Equity|YZJSGD SP Equity|WIL SP Equity|SCI SP Equity,VMS SP Equity|STE SP Equity|UOB SP Equity|CIT SP Equity|DFI SP Equity|GENS SP Equity,0.0,0,25.61,49.4,Full
2008-05-31,-0.01924167867197548,0.006593051622175851,-0.012648627049799629,0.025993494304009896,0.3333333333333333,JM SP Equity|CLAR SP Equity|SGX SP Equity|YZJSGD SP Equity|MLT SP Equity|HKL SP Equity,VMS SP Equity|STE SP Equity|UOB SP Equity|CIT SP Equity|DFI SP Equity|GENS SP Equity,0.0,0,20.79,49.3,Full
2008-06-30,-0.1119786019566768,0.0839342376554376,-0.028044364301239202,-0.0894834892337639,0.16666666666666666,CLAR SP Equity|SGX SP Equity|MLT SP Equity|HKL SP Equity|JM SP Equity|UOL SP Equity,STM SP Equity|VMS SP Equity|STE SP Equity|CIT SP Equity|DFI SP Equity|GENS SP Equity,1.0,0,17.83,49.0,Full
2008-07-31,-0.017092894899872434,-0.01775503054333885,-0.03484792544321129,-0.0032132370559256017,0.0,JM SP Equity|CLAR SP Equity|HKL SP Equity|MLT SP Equity|SGX SP Equity|UOL SP Equity,ST SP Equity|DBS SP Equity|UOB SP Equity|CIT SP Equity|DFI SP Equity|GENS SP Equity,0.0,1,23.95,50.6,Full
2008-08-31,-0.05403959087584895,0.048856377091730734,-0.005183213784118214,-0.056772945364698985,0.16666666666666666,HKL SP Equity|MLT SP Equity|CLAR SP Equity|JM SP Equity|THBEV SP Equity|UOL SP Equity,DFI SP Equity|UOB SP Equity|SATS SP Equity|VMS SP Equity|CIT SP Equity|GENS SP Equity,0.0,1,22.94,51.6,Full
2008-09-30,-0.12428542266540744,0.07966167406876332,-0.04462374859664413,-0.13051411604899843,0.16666666666666666,HKL SP Equity|CLAR SP Equity|JM SP Equity|MLT SP Equity|UOL SP Equity|SCI SP Equity,SATS SP Equity|STE SP Equity|UOB SP Equity|CIT SP Equity|DFI SP Equity|GENS SP Equity,0.0,1,20.65,50.6,Full
2008-10-31,-0.14132548611383214,0.24171869056763026,0.10039320445379812,-0.22120772695820953,0.16666666666666666,CLAR SP Equity|HKL SP Equity|JM SP Equity|UOL SP Equity|WIL SP Equity|SCI SP Equity,STM SP Equity|STE SP Equity|SATS SP Equity|VMS SP Equity|CIT SP Equity|GENS SP Equity,0.0,0,39.39,49.5,Full
2008-11-30,-0.04784426938006711,0.029630491572734924,-0.018213777807332188,-0.03267524192882493,0.5,CLAR SP Equity|MLT SP Equity|HKL SP Equity|THBEV SP Equity|SIA SP Equity|UOL SP Equity,SATS SP Equity|WIL SP Equity|STM SP Equity|VMS SP Equity|CIT SP Equity|GENS SP Equity,0.0,0,59.89,45.8,Full
2008-12-31,-0.008138912117503349,-0.0444001771611701,-0.05253908927867344,0.031750085649297016,0.16666666666666666,CLAR SP Equity|MLT SP Equity|THBEV SP Equity|HKL SP Equity|CICT SP Equity|SIA SP Equity,UOB SP Equity|ST SP Equity|OCBC SP Equity|STM SP Equity|CIT SP Equity|GENS SP Equity,0.0,0,55.84,44.3,Full
2009-01-31,0.040185842527422966,0.061654805789059366,0.10184064831648233,-0.005487313523968407,0.16666666666666666,CLAR SP Equity|THBEV SP Equity|MLT SP Equity|HKL SP Equity|CICT SP Equity|FCT SP Equity,KEP SP Equity|UOL SP Equity|VMS SP Equity|CIT SP Equity|DFI SP Equity|GENS SP Equity,0.0,0,40.0,44.8,Full
